longwave_radiance	isotropic_longwave_radiance_in_air
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_waste_treatment_and_disposal	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_waste_treatment_and_disposal
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_savanna_and_grassland_fires	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_savanna_and_grassland_fires
tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission	tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles_due_to_emission
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_land_transport	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_land_transport
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_agricultural_waste_burning	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_agricultural_waste_burning
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_energy_production_and_distribution	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_energy_production_and_distribution
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_maritime_transport	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_maritime_transport
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_production_and_emission	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_forest_fires	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_forest_fires
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission_from_industrial_processes_and_combustion	tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_expressed_as_carbon_due_to_emission_from_industrial_processes_and_combustion
significant_height_of_swell_waves	sea_surface_swell_wave_significant_height
significant_height_of_wind_waves	sea_surface_wind_wave_significant_height
significant_height_of_wind_and_swell_waves	sea_surface_wave_significant_height
moisture_content_of_soil_layer	mass_content_of_water_in_soil_layer
soil_moisture_content	mass_content_of_water_in_soil
direction_of_swell_wave_velocity	sea_surface_swell_wave_to_direction
direction_of_wind_wave_velocity	sea_surface_wind_wave_to_direction
sea_surface_wave_zero_upcrossing_period	sea_surface_wave_mean_period
sea_surface_wind_wave_zero_upcrossing_period	sea_surface_wind_wave_mean_period
sea_surface_swell_wave_zero_upcrossing_period	sea_surface_swell_wave_mean_period
ocean_mixed_layer_thickness_defined_by_vertical_tracer_diffusivity	ocean_mixed_layer_thickness_defined_by_vertical_tracer_diffusivity_deficit
atmosphere_mass_content_of_seasalt_dry_aerosol_particles	atmosphere_mass_content_of_sea_salt_dry_aerosol_particles
atmosphere_mass_content_of_seasalt_dry_aerosol	atmosphere_mass_content_of_sea_salt_dry_aerosol_particles
atmosphere_optical_thickness_due_to_seasalt_ambient_aerosol_particles	atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles
atmosphere_optical_thickness_due_to_seasalt_ambient_aerosol	atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles
